OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1547,9975FE41-B32F-4275-9877-E3ADEF2C608C,TCC,TUCUMCARI,35.18220583,-102.4014192,H24,,4034.8,113.6,12,,4,,15C325E0-37D4-4C96-8698-3141AA5739B8,0,083X,1,0,12,0,0,0,1,1,0,0
1548,4EE296BE-6FD5-45C2-BBEA-5633DA3AF36E,ZUN,ZUNI,34.96575333,-108.8454906,H24,,6550,113.4,14,,3,,04041275-BE24-4080-8B26-139215A25B2A,0,,1,0,14,0,0,0,1,1,0,0
1549,11BE6BB8-1488-47E3-B4AD-7D872EA77BD1,ZUN,ZUNI,34.96575333,-108.8454906,H24,,6550,113.4,14,,4,,04041275-BE24-4080-8B26-139215A25B2A,0,081X,1,0,14,0,0,0,1,1,0,0
1550,ADD89C49-54FE-4BA3-B711-78B8028EE488,BAM,BATTLE MOUNTAIN,40.56908056,-115.0777436,H24,,4544.1,112.2,13,,3,,4FF6BE9A-D68F-4921-82BB-3B144EE1A758,0,,1,0,13,0,0,0,1,1,0,0
1551,A3602ED8-E223-4AB0-AB20-2786490173EA,BAM,BATTLE MOUNTAIN,40.56908056,-115.0777436,H24,,4544.1,112.2,13,,4,,4FF6BE9A-D68F-4921-82BB-3B144EE1A758,0,059X,1,0,13,0,0,0,1,1,0,0
1552,7D5BDA5B-85AC-45B4-B821-72FB191FD7B0,BTY,BEATTY,36.80059694,-115.2523592,H24,,2927.7,114.7,16,,3,,2EE512E7-6604-48C2-9954-A6AC46B95D62,0,,1,1,16,0,0,0,1,1,0,0
1553,B2B247AE-7EC7-4ECB-AEE3-741DA788EB31,BTY,BEATTY,36.80059694,-115.2523592,H24,,2927.7,114.7,16,,4,,2EE512E7-6604-48C2-9954-A6AC46B95D62,0,094X,1,1,16,0,0,0,1,1,0,0
1554,5CC5700E-5E6D-4733-8FEF-8E9CA8ACA00B,BLD,BOULDER CITY,35.99579028,-113.1364211,H24,,3641.9,116.7,15,,3,,A84D7CD8-08E2-4135-B6C4-EFA03837D289,0,,1,0,15,0,0,0,1,1,0,0
1555,42E1E19F-9229-4553-839A-0AB3B85AC15C,BLD,BOULDER CITY,35.99579028,-113.1364211,H24,,3641.9,116.7,15,,4,,A84D7CD8-08E2-4135-B6C4-EFA03837D289,0,114X,1,0,15,0,0,0,1,1,0,0
1556,C97D056C-4CB5-48CB-9DD3-1188FC0946C5,OAL,COALDALE,38.00326139,-116.2295542,H24,,4800,117.7,17,,3,,4BD30414-464F-42E8-A071-ECD239A8204C,0,,1,1,17,0,0,0,1,1,0,0
