OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
14013,B091277B-4047-4087-B4F0-C43554FF2259,189DD0E5-D539-4E91-AC47-999560FF1243,14/32,2800,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14014,FC3F0F7B-D4D8-4617-847A-28F25642A3F9,A1DA8ED9-5B3A-42B5-8CF7-F3B5EE0F3FF0,H1,65,65,FT,ASPH,,,0,0,0,0,0,0,4.19040588894859e-08,0.000826575999894885
14015,E51854D9-CDC4-4ABE-971F-825605B4C981,98659772-B59D-45CC-8C0E-C8320D503189,09/27,4504,75,FT,ASPH,2,LIM,0,0,1,0,0,0,3.35930917572114e-06,0.0330508106249454
14016,12975392-4C12-40F7-97A8-00348F34A79C,24D86AC2-963F-4DC9-B708-A2E9AA925FBA,09/27,2500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14017,16BF2A57-F309-4073-90C5-57F486DA7309,9AAE8C64-EAC4-4A68-AFBE-1DA626550377,07/25,2650,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14018,F8520FC5-ECCF-46A0-A3D0-5CF309E812FA,9AAE8C64-EAC4-4A68-AFBE-1DA626550377,17/35,1860,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14019,206BF5F9-700C-43C3-A2D2-A941D5466E0C,9AAE8C64-EAC4-4A68-AFBE-1DA626550377,H1,100,100,FT,GRASS,,,0,0,0,0,0,0,9.67770574789029e-08,0.00125408600002084
14020,BB6A9A30-A18E-4942-8A27-1E270EFE6E96,26AF880A-2F06-4D89-9134-8E8E4923E1DA,05/23,4011,70,FT,ASPH,2,LIM,0,0,1,0,0,0,2.73172781817266e-06,0.0259353209349508
14021,9F889D5D-A994-45B9-98EE-62E2D7FD271E,5978E490-0460-4CF5-B506-EE59113FAE81,H1,40,40,FT,MATS,,,0,0,0,0,0,0,1.55682755575981e-08,0.000503168000022924
14022,A8267767-8044-4811-A7AF-A4D29685C644,C2BF8268-B90F-4C26-8B2A-2D4E00F1B63F,H1,75,75,FT,GRASS,,,0,0,0,0,0,0,5.47865965927485e-08,0.000943969999980254
14023,425D630B-D703-46F7-BE69-6EAE9C2FF389,AC1C9081-521F-4B20-948B-DD0EDC0B72C3,18/36,2000,300,FT,GRASS,2,LIL,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14024,95B6F371-19D4-48F5-A575-CC2604910090,4AEB3758-318D-419D-960F-1328695791B9,05/23,2400,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
14025,234DDB27-A8E0-4B72-BEFD-7944A7C789D7,FA06926F-C9BE-4FF8-B963-90074F1EA6A0,09/27,2237,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
